District,Year,june,july,august,september,october,november,Yield
Farukkhabad,2016,0.327,0.352,0.616,0.534,0.356,0.422,2.64
Farukkhabad,2017,0.388,0.468,0.588,0.611,0.464,0.446,3.02
Farukkhabad,2018,0.341,0.399,0.573,0.535,0.411,0.469,3.02
Farukkhabad,2019,0.383,0.412,0.605,0.633,0.539,0.514,3.78
Fatehpur,2006,0.215,0.315,0.552,0.573,0.474,0.405,1.69
Fatehpur,2007,0.232,0.332,0.568,0.598,0.484,0.374,1.88
Fatehpur,2008,0.259,0.392,0.522,0.546,0.477,0.415,2.3
Fatehpur,2009,0.239,0.299,0.516,0.609,0.497,0.435,2.16
Fatehpur,2010,0.24,0.383,0.542,0.63,0.509,0.435,2.11
Fatehpur,2011,0.267,0.299,0.516,0.61,0.497,0.435,2.35
Fatehpur,2012,0.225,0.337,0.595,0.638,0.521,0.399,2.46
Fatehpur,2013,0.317,0.457,0.586,0.609,0.561,0.444,2.61
Fatehpur,2014,0.264,0.309,0.527,0.595,0.525,0.39,1.95
Fatehpur,2015,0.264,0.353,0.575,0.565,0.448,0.348,2.05
Fatehpur,2016,0.28,0.358,0.623,0.644,0.529,0.419,2.49
Fatehpur,2017,0.299,0.374,0.588,0.649,0.552,0.414,2.64
Fatehpur,2018,0.257,0.297,0.491,0.667,0.52,0.409,2.92
Fatehpur,2019,0.276,0.37,0.536,0.688,0.66,0.434,3
Firozabad,2006,0.264,0.354,0.467,0.516,0.364,0.335,2.93
Firozabad,2007,0.245,0.335,0.517,0.52,0.364,0.29,3.04
Firozabad,2008,0.312,0.439,0.554,0.485,0.402,0.365,3
Firozabad,2009,0.226,0.267,0.476,0.574,0.411,0.368,2.92
Firozabad,2010,0.25,0.393,0.536,0.61,0.43,0.346,2.76
Firozabad,2011,0.255,0.267,0.476,0.574,0.411,0.368,2.84
Firozabad,2012,0.234,0.302,0.596,0.625,0.445,0.366,2.84
Firozabad,2013,0.287,0.461,0.566,0.572,0.494,0.385,2.75
Firozabad,2014,0.262,0.263,0.531,0.575,0.454,0.35,2.43
Firozabad,2015,0.283,0.346,0.598,0.551,0.387,0.301,2.4
Firozabad,2016,0.285,0.305,0.55,0.561,0.381,0.357,2.54
Firozabad,2017,0.303,0.335,0.621,0.639,0.449,0.354,2.74
Firozabad,2018,0.281,0.258,0.467,0.63,0.493,0.371,2.73
Firozabad,2019,0.301,0.315,0.496,0.7,0.549,0.429,2.84
Gautambudhnagar,2006,0.277,0.421,0.608,0.6,0.469,0.278,1.99
Gautambudhnagar,2007,0.341,0.453,0.567,0.596,0.453,0.249,2.5
Gautambudhnagar,2008,0.38,0.424,0.626,0.599,0.487,0.297,1.93
Gautambudhnagar,2009,0.228,0.346,0.531,0.642,0.531,0.296,2.41
Gautambudhnagar,2010,0.228,0.41,0.554,0.6,0.498,0.305,2.08
Gautambudhnagar,2011,0.278,0.345,0.53,0.641,0.531,0.296,2.24
Gautambudhnagar,2012,0.222,0.344,0.575,0.666,0.469,0.276,2.12
Gautambudhnagar,2013,0.293,0.419,0.604,0.605,0.515,0.285,2.45
Gautambudhnagar,2014,0.263,0.358,0.516,0.582,0.462,0.256,2.78
Gautambudhnagar,2015,0.255,0.403,0.585,0.564,0.474,0.279,2.62
Gautambudhnagar,2016,0.311,0.45,0.585,0.601,0.447,0.279,2.44
Gautambudhnagar,2017,0.319,0.44,0.611,0.632,0.505,0.309,2.56
Gautambudhnagar,2018,0.252,0.373,0.556,0.642,0.541,0.317,2.86
Gautambudhnagar,2019,0.291,0.355,0.535,0.67,0.555,0.342,2.92
Gazipur,2006,0.337,0.404,0.576,0.674,0.609,0.467,1.93
Gazipur,2007,0.306,0.372,0.51,0.693,0.658,0.456,2.16
Gazipur,2008,0.274,0.386,0.536,0.691,0.615,0.423,2.24
Gazipur,2009,0.244,0.332,0.483,0.685,0.595,0.474,1.85
